Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,,
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,,
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,,
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,,
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,,
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,,
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,,
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,,
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,,
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7692020.0,7692020.0,7692020.0,7692020.0,7692020.0,7692020.0,,
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0,,
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82705.0,82605.0,82604.0,82618.0,82652.0,82672.0,82660.0,82637.0,82629.0,82627.0,82622.0,82656.0,82658.0,82658.0,82659.0,82663.0,82663.0,82670.0,82662.0,82654.0,82654.0,82646.0,82650.0,,
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,25680.0,,
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,30280.0,,
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,112760.0,,
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,273600.0,,
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,130170.0,,
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,110630.0,110630.0,110630.0,108800.0,108770.0,108760.0,108640.0,108630.0,108610.0,108610.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,108560.0,,
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,710.0,710.0,710.0,710.0,720.0,730.0,740.0,740.0,750.0,760.0,760.0,762.0,767.0,770.0,770.0,771.0,778.0,779.0,780.0,778.0,780.0,785.0,790.0,,
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,10010.0,,
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,,
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202835.0,202848.0,202844.0,202829.0,202826.0,202815.0,202833.0,202904.0,202901.0,202902.0,202898.0,202902.0,202910.0,202899.0,202908.0,202973.0,202978.0,202988.0,202988.0,202980.0,202965.0,202980.0,202950.0,,
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,22810.0,,
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,,
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,1083300.0,,
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,8358140.0,,
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,,
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,5270.0,,
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,39800.0,39800.0,39800.0,39800.0,39800.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38117.0,38144.0,38144.0,38140.0,38140.0,38140.0,38140.0,,
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,566730.0,,
